# OpenTelemetry Metrics report: .csv, 4 fields: 
FlushQueue.waitingTimeAvgNs,1697550113995000000,1697550173979000000,6615576.668896321
workspaceModel.moduleBridge.update.option.ms,1697550113995000000,1697550173979000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1697550113995000000,1697550173979000000,31
jps.reload.project.entities.ms,1697550113995000000,1697550173979000000,0
jps.module.iml.entities.serializer.save.entities.ms,1697550113995000000,1697550173979000000,0
jps.app.storage.content.reader.load.component.ms,1697550113995000000,1697550173979000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1697550113995000000,1697550173979000000,1
workspaceModel.sync.entities.ms,1697550113995000000,1697550173979000000,0
workspaceModel.moduleBridge.before.changed.ms,1697550113995000000,1697550173979000000,0
jps.global.get.library.by.name.ms,1697550113995000000,1697550173979000000,0
jps.global.handle.changed.events.ms,1697550113995000000,1697550173979000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1697550113995000000,1697550173979000000,2
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1697550113995000000,1697550173979000000,2
jps.facet.change.listener.before.change.events.ms,1697550113995000000,1697550173979000000,1
workspaceModel.global.updates.count,1697550113995000000,1697550173979000000,1
workspaceModel.load.cache.from.file.ms,1697550113995000000,1697550173979000000,256
jps.module.iml.entities.serializer.load.entities.ms,1697550113995000000,1697550173979000000,132
jps.artifact.entities.serializer.load.entities.ms,1697550113995000000,1697550173979000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1697550113995000000,1697550173979000000,2
workspaceModel.mutableEntityStorage.add.entity.ms,1697550113995000000,1697550173979000000,79
jps.global.handle.before.change.events.ms,1697550113995000000,1697550173979000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1697550113995000000,1697550173979000000,0
jps.apply.loaded.storage.ms,1697550113995000000,1697550173979000000,228
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1697550113995000000,1697550173979000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1697550113995000000,1697550173979000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1697550113995000000,1697550173979000000,0
workspaceModel.orphan.listener.update.ms,1697550113995000000,1697550173979000000,6
workspaceModel.moduleManagerBridge.load.all.modules.ms,1697550113995000000,1697550173979000000,647
jps.save.changed.project.entities.ms,1697550113995000000,1697550173979000000,1
workspaceModel.global.updates.ms,1697550113995000000,1697550173979000000,2
jps.project.serializers.save.ms,1697550113995000000,1697550173979000000,1
jps.load.initial.state.ms,1697550113995000000,1697550173979000000,4
workspaceModel.moduleManagerBridge.build.module.graph.ms,1697550113995000000,1697550173979000000,1
workspaceModel.mutableEntityStorage.remove.entity.ms,1697550113995000000,1697550173979000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1697550113995000000,1697550173979000000,37
workspaceModel.global.apply.state.to.project.builder.ms,1697550113995000000,1697550173979000000,1
jps.facet.change.listener.process.change.events.ms,1697550113995000000,1697550173979000000,1
workspaceModel.mutableEntityStorage.entities.ms,1697550113995000000,1697550173979000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1697550113995000000,1697550173979000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1697550113995000000,1697550173979000000,2
jps.facet.change.listener.init.bridge.ms,1697550113995000000,1697550173979000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1697550113995000000,1697550173979000000,1271
workspaceModel.moduleManagerBridge.create.module.instance.ms,1697550113995000000,1697550173979000000,0
jps.project.serializers.load.ms,1697550113995000000,1697550173979000000,203
jps.global.get.libraries.ms,1697550113995000000,1697550173979000000,0
jps.library.entities.serializer.load.entities.ms,1697550113995000000,1697550173979000000,47
workspaceModel.save.cache.to.file.ms,1697550113995000000,1697550173979000000,102
workspaceModel.mutableEntityStorage.resolve.ms,1697550113995000000,1697550173979000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1697550113995000000,1697550173979000000,0
jps.global.initialize.library.bridges.after.loading.ms,1697550113995000000,1697550173979000000,0
jps.artifact.entities.serializer.save.entities.ms,1697550113995000000,1697550173979000000,0
workspaceModel.global.apply.state.to.project.ms,1697550113995000000,1697550173979000000,9
jps.library.entities.serializer.save.entities.ms,1697550113995000000,1697550173979000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1697550113995000000,1697550173979000000,667
jps.storage.jps.conf.reader.load.component.ms,1697550113995000000,1697550173979000000,69
workspaceModel.mutableEntityStorage.add.diff.ms,1697550113995000000,1697550173979000000,90
workspaceModel.mutableEntityStorage.collect.changes.ms,1697550113995000000,1697550173979000000,2
jps.global.get.library.ms,1697550113995000000,1697550173979000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1697550113995000000,1697550173979000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1697550113995000000,1697550173979000000,7
jps.load.project.to.empty.storage.ms,1697550113995000000,1697550173979000000,426
jps.save.global.entities.ms,1697550113995000000,1697550173979000000,0
jps.global.initialize.library.bridges.ms,1697550113995000000,1697550173979000000,18
IndexesFlusher.totalFlushes,1697550113995000000,1697550173979000000,59
Indexes.stubs.lookupDuration90PMs,1697550113995000000,1697550173979000000,0.0
Indexes.entries.lookupDurationAvgMs,1697550113995000000,1697550173979000000,0.3
VFSFlusher.totalFlushes,1697550113995000000,1697550173979000000,8
Indexes.entries.lookupDuration90PMs,1697550113995000000,1697550173979000000,0.0
IndexesFlusher.totalFlushingTimeUs,1697550113995000000,1697550173979000000,803229
Indexes.allKeys.lookupDurationMaxMs,1697550113995000000,1697550173979000000,10.0
Indexes.stubs.lookupDurationAvgMs,1697550113995000000,1697550173979000000,0.08536585365853659
IndexesFlusher.totalFlushesRetried,1697550113995000000,1697550173979000000,0
VFSFlusher.totalFlushesRetried,1697550113995000000,1697550173979000000,0
VFSFlusher.totalFlushingTimeUs,1697550113995000000,1697550173979000000,64671
Indexes.entries.lookups,1697550113995000000,1697550173979000000,60.0
Indexes.allKeys.lookupDuration90PMs,1697550113995000000,1697550173979000000,10.0
Indexes.entries.lookupDurationMaxMs,1697550113995000000,1697550173979000000,11.0
IndexesFlusher.totalContentionQuotaSpent,1697550113995000000,1697550173979000000,0
Indexes.allKeys.lookups,1697550113995000000,1697550173979000000,3.0
Indexes.allKeys.lookupDurationAvgMs,1697550113995000000,1697550173979000000,3.6666666666666665
Indexes.stubs.lookupDurationMaxMs,1697550113995000000,1697550173979000000,4.0
Indexes.stubs.lookups,1697550113995000000,1697550173979000000,82.0
VFSFlusher.totalContentionQuotaSpent,1697550113995000000,1697550173979000000,0
JVM.usedNativeBytes,1697550113995000000,1697550173979000000,524962776
JVM.totalCpuTimeMs,1697550113995000000,1697550173979000000,10625
JVM.GC.collectionTimesMs,1697550113995000000,1697550173979000000,55
JVM.maxHeapBytes,1697550113995000000,1697550173979000000,2147483648
JVM.GC.collections,1697550113995000000,1697550173979000000,2
JVM.usedHeapBytes,1697550113995000000,1697550173979000000,427819008
JVM.maxNativeBytes,1697550113995000000,1697550173979000000,-1
OS.loadAverage,1697550113995000000,1697550173979000000,-1.0
JVM.threadCount,1697550113995000000,1697550173979000000,139
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1697550173979000000,1697550181376000000,73482240
DirectByteBufferAllocator.hits,1697550173979000000,1697550181376000000,1
StorageLockContext.competingThreads.avg,1697550173979000000,1697550181376000000,0.0
FilePageCache.pageHits,1697550173979000000,1697550181376000000,0
FilePageCache.pageFastCacheHits,1697550173979000000,1697550181376000000,658
FilePageCache.maxCacheSizeInBytes,1697550173979000000,1697550181376000000,527482880
DirectByteBufferAllocator.disposed,1697550173979000000,1697550181376000000,444
FilePageCache.maxRegisteredFiles,1697550173979000000,1697550181376000000,1226
FilePageCache.pageLoadsAboveSizeThreshold,1697550173979000000,1697550181376000000,0
DirectByteBufferAllocator.misses,1697550173979000000,1697550181376000000,0
FilePageCache.pageLoads,1697550173979000000,1697550181376000000,1
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1697550173979000000,1697550181376000000,73482240
FilePageCache.totalPageLoadsUs,1697550173979000000,1697550181376000000,42
FilePageCache.capacityInBytes,1697550173979000000,1697550181376000000,524288000
FilePageCache.totalPageDisposalsUs,1697550173979000000,1697550181376000000,1
FilePageCache.uncachedFileAccess,1697550173979000000,1697550181376000000,4
DirectByteBufferAllocator.reclaimed,1697550173979000000,1697550181376000000,53
StorageLockContext.competingThreads.max,1697550173979000000,1697550181376000000,0
FilePageCache.disposedBuffers,1697550173979000000,1697550181376000000,497
StorageLockContext.competingThreads.90P,1697550173979000000,1697550181376000000,0
workspaceModel.replace.project.model.ms,1697550173979000000,1697550181376000000,0
workspaceModel.updates.ms,1697550173979000000,1697550181376000000,193
workspaceModel.loading.total.ms,1697550173979000000,1697550181376000000,280
workspaceModel.collect.changes.ms,1697550173979000000,1697550181376000000,0
workspaceModel.updates.precise.ms,1697550173979000000,1697550181376000000,51
workspaceModel.init.bridges.ms,1697550173979000000,1697550181376000000,21
workspaceModel.loading.from.cache.ms,1697550173979000000,1697550181376000000,257
workspaceModel.check.recursive.update.ms,1697550173979000000,1697550181376000000,0
workspaceModel.update.unloaded.entities.ms,1697550173979000000,1697550181376000000,0
workspaceModel.to.snapshot.ms,1697550173979000000,1697550181376000000,1
workspaceModel.updates.count,1697550173979000000,1697550181376000000,9
workspaceModel.initializing.ms,1697550173979000000,1697550181376000000,21
workspaceModel.pre.handlers.ms,1697550173979000000,1697550181376000000,1
FileNameCache.queries,1697550173979000000,1697550181376000000,6222
FileNameCache.totalMisses,1697550173979000000,1697550181376000000,0
FileNameCache.fastMisses,1697550173979000000,1697550181376000000,86
NonBlockingReadAction.failedExecutionTimeUs,1697550173979000000,1697550181376000000,0
AWTEventQueue.dispatchTimeTotalNS,1697550173979000000,1697550181376000000,895428600
NonBlockingReadAction.failedExecutionsCount,1697550173979000000,1697550181376000000,0
NonBlockingReadAction.finalizedExecutionsCount,1697550173979000000,1697550181376000000,36
NonBlockingReadAction.finalizedExecutionTimeUs,1697550173979000000,1697550181376000000,174136
workspaceModel.moduleBridge.update.option.ms,1697550173979000000,1697550181376000000,0
jps.app.storage.content.writer.save.component.ms,1697550173979000000,1697550181376000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1697550173979000000,1697550181376000000,31
jps.reload.project.entities.ms,1697550173979000000,1697550181376000000,0
jps.module.iml.entities.serializer.save.entities.ms,1697550173979000000,1697550181376000000,0
jps.app.storage.content.reader.load.component.ms,1697550173979000000,1697550181376000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1697550173979000000,1697550181376000000,1
workspaceModel.sync.entities.ms,1697550173979000000,1697550181376000000,0
workspaceModel.moduleBridge.before.changed.ms,1697550173979000000,1697550181376000000,0
jps.global.get.library.by.name.ms,1697550173979000000,1697550181376000000,0
jps.global.handle.changed.events.ms,1697550173979000000,1697550181376000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1697550173979000000,1697550181376000000,2
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1697550173979000000,1697550181376000000,2
jps.facet.change.listener.before.change.events.ms,1697550173979000000,1697550181376000000,1
workspaceModel.global.updates.count,1697550173979000000,1697550181376000000,1
workspaceModel.load.cache.from.file.ms,1697550173979000000,1697550181376000000,256
jps.module.iml.entities.serializer.load.entities.ms,1697550173979000000,1697550181376000000,132
jps.artifact.entities.serializer.load.entities.ms,1697550173979000000,1697550181376000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1697550173979000000,1697550181376000000,2
workspaceModel.mutableEntityStorage.add.entity.ms,1697550173979000000,1697550181376000000,79
jps.global.handle.before.change.events.ms,1697550173979000000,1697550181376000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1697550173979000000,1697550181376000000,0
jps.apply.loaded.storage.ms,1697550173979000000,1697550181376000000,228
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1697550173979000000,1697550181376000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1697550173979000000,1697550181376000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1697550173979000000,1697550181376000000,0
workspaceModel.orphan.listener.update.ms,1697550173979000000,1697550181376000000,6
workspaceModel.moduleManagerBridge.load.all.modules.ms,1697550173979000000,1697550181376000000,647
jps.save.changed.project.entities.ms,1697550173979000000,1697550181376000000,1
workspaceModel.global.updates.ms,1697550173979000000,1697550181376000000,2
jps.project.serializers.save.ms,1697550173979000000,1697550181376000000,1
jps.load.initial.state.ms,1697550173979000000,1697550181376000000,4
workspaceModel.moduleManagerBridge.build.module.graph.ms,1697550173979000000,1697550181376000000,1
workspaceModel.mutableEntityStorage.remove.entity.ms,1697550173979000000,1697550181376000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1697550173979000000,1697550181376000000,37
workspaceModel.global.apply.state.to.project.builder.ms,1697550173979000000,1697550181376000000,1
jps.facet.change.listener.process.change.events.ms,1697550173979000000,1697550181376000000,1
workspaceModel.mutableEntityStorage.entities.ms,1697550173979000000,1697550181376000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1697550173979000000,1697550181376000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1697550173979000000,1697550181376000000,2
jps.facet.change.listener.init.bridge.ms,1697550173979000000,1697550181376000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1697550173979000000,1697550181376000000,1271
workspaceModel.moduleManagerBridge.create.module.instance.ms,1697550173979000000,1697550181376000000,0
jps.project.serializers.load.ms,1697550173979000000,1697550181376000000,203
jps.global.get.libraries.ms,1697550173979000000,1697550181376000000,0
jps.library.entities.serializer.load.entities.ms,1697550173979000000,1697550181376000000,47
workspaceModel.save.cache.to.file.ms,1697550173979000000,1697550181376000000,102
workspaceModel.mutableEntityStorage.resolve.ms,1697550173979000000,1697550181376000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1697550173979000000,1697550181376000000,0
jps.global.initialize.library.bridges.after.loading.ms,1697550173979000000,1697550181376000000,0
jps.artifact.entities.serializer.save.entities.ms,1697550173979000000,1697550181376000000,0
workspaceModel.global.apply.state.to.project.ms,1697550173979000000,1697550181376000000,9
jps.library.entities.serializer.save.entities.ms,1697550173979000000,1697550181376000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1697550173979000000,1697550181376000000,667
jps.storage.jps.conf.reader.load.component.ms,1697550173979000000,1697550181376000000,69
workspaceModel.mutableEntityStorage.add.diff.ms,1697550173979000000,1697550181376000000,90
workspaceModel.mutableEntityStorage.collect.changes.ms,1697550173979000000,1697550181376000000,2
jps.global.get.library.ms,1697550173979000000,1697550181376000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1697550173979000000,1697550181376000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1697550173979000000,1697550181376000000,7
jps.load.project.to.empty.storage.ms,1697550173979000000,1697550181376000000,426
jps.save.global.entities.ms,1697550173979000000,1697550181376000000,0
jps.global.initialize.library.bridges.ms,1697550173979000000,1697550181376000000,18
Indexes.stubs.lookupDuration90PMs,1697550173979000000,1697550181376000000,0.0
Indexes.entries.lookupDurationAvgMs,1697550173979000000,1697550181376000000,0.05
Indexes.entries.lookupDuration90PMs,1697550173979000000,1697550181376000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1697550173979000000,1697550181376000000,0.0
Indexes.stubs.lookupDurationAvgMs,1697550173979000000,1697550181376000000,0.03571428571428571
Indexes.entries.lookups,1697550173979000000,1697550181376000000,20.0
Indexes.allKeys.lookupDuration90PMs,1697550173979000000,1697550181376000000,0.0
Indexes.entries.lookupDurationMaxMs,1697550173979000000,1697550181376000000,1.0
Indexes.allKeys.lookups,1697550173979000000,1697550181376000000,1.0
Indexes.allKeys.lookupDurationAvgMs,1697550173979000000,1697550181376000000,0.0
Indexes.stubs.lookupDurationMaxMs,1697550173979000000,1697550181376000000,1.0
Indexes.stubs.lookups,1697550173979000000,1697550181376000000,28.0
